X                  ,Y                ,Slice
0.0773983532270428 ,                 ,Slice 1
0.0785040439874291 ,                 ,Slice 1
0.0796097347478154 ,-6.58569863057938,Slice 1
0.0807154255082018 ,-6.57119122074594,Slice 1
0.0818211162685881 ,                 ,Slice 1
0.0829268070289744 ,                 ,Slice 1
0.0840324977893607 ,                 ,Slice 1
0.085138188549747  ,-8.63200586315044,Slice 1
0.0862438793101334 ,-8.67701133973418,Slice 1
0.0873495700705197 ,-8.69358690032728,Slice 1
0.088455260830906  ,-8.69797995168716,Slice 1
0.0895609515912924 ,-8.69572831329432,Slice 1
0.0906666423516787 ,-8.68422285793706,Slice 1
0.091772333112065  ,-8.65374522386877,Slice 1
0.0928780238724513 ,-8.52500372963207,Slice 1
0.0939837146328377 ,-7.37205039034718,Slice 1
0.095089405393224  ,-6.30525583962084,Slice 1
0.0961950961536103 ,-6.2994294303147 ,Slice 1
0.0973007869139966 ,-6.29837109956408,Slice 1
0.0984064776743829 ,-6.29699658014538,Slice 1
0.0995121684347693 ,-6.29624700312809,Slice 1
0.100617859195156  ,-6.29518100729138,Slice 1
0.101723549955542  ,-6.29317146351359,Slice 1
0.102829240715928  ,-6.43128236150693,Slice 1
0.103934931476315  ,-8.13791559936996,Slice 1
0.105040622236701  ,-8.58913394715485,Slice 1
0.106146312997087  ,-8.62960160245868,Slice 1
0.107252003757474  ,-8.62491669916863,Slice 1
0.10835769451786   ,-8.49674882268787,Slice 1
0.109463385278246  ,-7.34509660684764,Slice 1
0.110569076038633  ,-6.28630994828714,Slice 1
0.111674766799019  ,-6.28063936999426,Slice 1
0.112780457559405  ,-6.27908652885908,Slice 1
0.113886148319791  ,-6.27671137932777,Slice 1
0.114991839080178  ,-6.46429816873676,Slice 1
0.116097529840564  ,-8.55304012997356,Slice 1
0.11720322060095   ,-8.58745440429341,Slice 1
0.118308911361337  ,-8.61500253926922,Slice 1
0.119414602121723  ,-8.6045154057941 ,Slice 1
0.120520292882109  ,-8.47272952397027,Slice 1
0.121625983642496  ,-7.32121842125371,Slice 1
0.122731674402882  ,-6.46576140943033,Slice 1
0.123837365163268  ,-8.56893990382012,Slice 1
0.124943055923655  ,-8.56928426064968,Slice 1
0.126048746684041  ,-8.60114589213394,Slice 1
0.127154437444427  ,-8.59734943025174,Slice 1
0.128260128204814  ,-8.56889503162772,Slice 1
0.1293658189652    ,-8.40997500210337,Slice 1
0.130471509725586  ,-6.47340599704445,Slice 1
0.131577200485973  ,-7.57874902681106,Slice 1
0.132682891246359  ,-8.58670933156813,Slice 1
0.133788582006745  ,-8.60583630884102,Slice 1
0.134894272767132  ,-8.62463023964061,Slice 1
0.135999963527518  ,-8.63195449803701,Slice 1
0.137105654287904  ,-8.63083415281661,Slice 1
0.138211345048291  ,-8.62235402840347,Slice 1
0.139317035808677  ,-8.60127419420663,Slice 1
0.140422726569063  ,-8.49611580562839,Slice 1
0.14152841732945   ,-7.64281638797794,Slice 1
0.142634108089836  ,-6.23288048660957,Slice 1
0.143739798850222  ,-6.22937469227547,Slice 1
0.144845489610608  ,-6.22738759308681,Slice 1
0.145951180370995  ,-6.22533998885255,Slice 1
0.147056871131381  ,-6.22166723527365,Slice 1
0.148162561891767  ,-6.68067311876387,Slice 1
0.149268252652154  ,-11.0418162765809,Slice 1
0.15037394341254   ,-11.0549666890923,Slice 1
0.151479634172926  ,-10.556602454119 ,Slice 1
0.152585324933313  ,-6.2195065819927 ,Slice 1
0.153691015693699  ,-6.21087803625168,Slice 1
0.154796706454085  ,-6.20856289789669,Slice 1
0.155902397214472  ,-6.20697474165346,Slice 1
0.157008087974858  ,-6.2044253108747 ,Slice 1
0.158113778735244  ,-6.30562789181772,Slice 1
0.159219469495631  ,-7.34908190513276,Slice 1
0.160325160256017  ,-8.31430107259168,Slice 1
0.161430851016403  ,-8.55357775277897,Slice 1
0.16253654177679   ,-8.57597410754892,Slice 1
0.163642232537176  ,-8.58569598476468,Slice 1
0.164747923297562  ,-8.58882010345035,Slice 1
0.165853614057949  ,-8.5892695895529 ,Slice 1
0.166959304818335  ,-8.58862182063028,Slice 1
0.168064995578721  ,-8.58672293061526,Slice 1
0.169170686339107  ,-8.58464795590117,Slice 1
0.170276377099494  ,-8.58191542293224,Slice 1
0.17138206785988   ,-8.57871550522954,Slice 1
0.172487758620266  ,-8.57396548033128,Slice 1
